Subcluster_id,Q-score,No_of_motifs
250,0.2896730988769801,9
1464,0.28941508413396966,3
406,0.2891281446785734,3
547,0.2885423174156927,5
1963,0.2884549677323878,3
1466,0.28834480632694215,6
1176,0.28761445257695195,5
284,0.2874216780489281,13
308,0.287324540969367,5
2247,0.28722395322130434,4
1047,0.2869755402227347,5
32,0.2868220695286283,4
1856,0.28652933191596885,6
76,0.2865292572888419,8
2328,0.2864971373877812,3
327,0.2864566270661121,7
1783,0.28603296136553436,3
891,0.28576168718860406,11
231,0.28526168539820496,7
1069,0.28434662593766824,3
2146,0.28415628580875557,3
926,0.28373576782065224,5
121,0.28349046253860066,4
1802,0.28311156055928693,7
1993,0.28303198193648293,6
1111,0.2829879533769473,7
1623,0.2828099538889337,3
154,0.2827989546231834,6
751,0.28270626280461214,7
2123,0.28254876195124745,8
801,0.28226626249492315,13
749,0.28192928260171235,3
262,0.2812804503711661,7
737,0.28108732738222836,4
1274,0.28083763548325064,5
1201,0.28066370458808887,5
1329,0.280100995595026,2
83,0.27984485902948764,5
660,0.27974862268458434,6
2182,0.2793422562579631,5
2191,0.2792854425486166,4
525,0.2790433565003899,5
1016,0.27884935087188806,6
930,0.2788259383975708,5
1404,0.27829043677752496,4
1005,0.2777631823256343,4
2383,0.27746927326100657,2
533,0.27741063354446194,8
511,0.2773802855272663,7
1537,0.2773386828275509,4
1321,0.2770002706954424,5
115,0.276626729834352,6
337,0.27655694499274247,8
1889,0.276495884199761,5
379,0.276231202546242,5
719,0.2758026869114836,4
971,0.27534397190392335,9
537,0.27530237114839384,5
834,0.2753015817088978,8
2332,0.2750818809733758,3
1446,0.2748978346199389,4
1834,0.27456778719616187,7
2079,0.27445785876958045,9
764,0.2732888708505251,8
1825,0.2730525135073944,7
604,0.27268249350051055,4
1752,0.2722029556287417,5
1241,0.2721168197516006,6
1516,0.27193680259374137,4
2193,0.27185858983926664,7
1672,0.2717797163081325,4
1925,0.2711905808338004,8
2029,0.27096894471713495,4
1058,0.27081271823361075,4
419,0.2704827357864552,7
2223,0.2703599866139459,4
1572,0.27026835080386286,8
2326,0.26988874294059245,4
1381,0.26986834876246557,4
1635,0.26967148041680183,4
1140,0.2695877508080921,13
1123,0.26927790745247593,7
1716,0.26908786289625486,8
509,0.26900633555696096,5
2229,0.2688360557529528,3
874,0.268687245183163,8
2065,0.2682845714356326,8
311,0.2682173287233845,6
321,0.2670232114970392,4
752,0.266620696301717,3
629,0.2662529857429895,9
46,0.2661294682954678,11
1055,0.2659600267670311,7
1573,0.2658752018215847,7
1590,0.2653972210145451,5
2152,0.2653827675034365,3
1646,0.2651219495355689,4
1798,0.26498613854778236,6
1918,0.2646268071310524,19
1280,0.2641060004024072,5
1905,0.2640156394780355,3
2324,0.26389998730712283,7
387,0.26383600980360156,7
1953,0.2634843118713345,6
1676,0.26317093345769715,7
1294,0.2629086268369907,6
903,0.262876846289528,6
2017,0.26230116756195004,8
2258,0.2621071272342289,3
1090,0.26199356371570354,10
1251,0.2619160710915982,11
458,0.26187040130167794,13
2322,0.2613222803001274,9
642,0.2612408419407997,7
952,0.2610055145753453,5
1296,0.26060323173047173,4
816,0.2602928924764815,8
2171,0.2600048582297495,2
2157,0.2597533973934293,6
51,0.259615002924735,4
1976,0.25934458612444833,5
2062,0.2592031097213641,7
1616,0.25916548166722636,7
781,0.25851180758263653,3
2297,0.2584418074483364,7
594,0.2574683848405866,4
712,0.2574346127197856,5
104,0.2573313964002134,10
198,0.2572287667688813,11
108,0.25705429892530585,9
336,0.2568897530302732,4
221,0.25672989345521013,5
239,0.2566691137596692,11
1272,0.25530357025609257,7
858,0.25508889356956105,9
1094,0.25505012354113843,5
2215,0.2547007663039752,9
702,0.25450495137666473,12
1401,0.2542835417862461,9
1881,0.25411149417110634,6
2221,0.25361597299281097,4
220,0.25353984537840063,8
2374,0.2532243717755852,11
1820,0.25296808509632224,4
118,0.2529513386201502,3
923,0.2527182686043783,3
609,0.2526680781369128,6
1994,0.2523655824039821,6
2014,0.2523518835697205,3
1738,0.2521506437369249,6
2055,0.25201980689405484,5
583,0.2518483111622498,7
182,0.25177619308048216,10
1148,0.25148214997143425,5
1311,0.2514543406065479,4
2358,0.251432237872261,5
93,0.2511526388764414,9
294,0.25086557847055735,5
1150,0.25075723936058514,4
2214,0.2504204130370928,8
1549,0.2503848252791,2
569,0.2503491823182738,13
390,0.25002916404014136,3
1630,0.25002301513908637,6
652,0.24991189901756294,8
1475,0.2497460071690818,6
2098,0.24974550565642892,7
1286,0.2495407627448538,10
1323,0.24951389729677959,7
1098,0.24917343898318842,3
456,0.24904752972833485,8
1977,0.24900497346307354,6
1866,0.24896201199183673,7
2350,0.2488163832027548,5
1599,0.24874379133963265,7
2051,0.24872589708244322,5
964,0.24858375815498515,5
226,0.2484267922844633,9
101,0.24841777006466945,9
1665,0.24806360057913798,5
1917,0.24801256606880057,8
1352,0.24773320126666637,4
824,0.24762849227929404,2
1448,0.24724652487625398,5
1656,0.24697089634336605,7
490,0.24658702222827605,14
1391,0.24591273098288488,4
2102,0.24553608294929716,5
185,0.2451454558232486,7
1518,0.24496734346311713,7
110,0.24471510982463945,12
1877,0.24469927703807787,8
774,0.2443417643733532,4
1164,0.24430795403345612,10
2368,0.24410130565003044,5
1999,0.24406964570889061,3
1068,0.2439722234473231,3
1202,0.2436318987064468,5
